,SBI Bluechip Fund,ICICI Pru Bluechip Fund,Nippon Large Cap Fund,Axis Bluechip Fund,HDFC Top 100 Fund
2022-01-03,,,,,
2022-01-04,,,,,
2022-01-05,,,,,
2022-01-06,,,,,
2022-01-07,,,,,
2022-01-10,,,,,
2022-01-11,,,,,
2022-01-12,,,,,
2022-01-13,,,,,
2022-01-14,,,,,
2022-01-17,,,,,
2022-01-18,,,,,
2022-01-19,,,,,
2022-01-20,,,,,
2022-01-21,,,,,
2022-01-24,,,,,
2022-01-25,,,,,
2022-01-26,,,,,
2022-01-27,,,,,
2022-01-28,,,,,
2022-01-31,,,,,
2022-02-01,,,,,
2022-02-02,,,,,
2022-02-03,,,,,
2022-02-04,,,,,
2022-02-07,,,,,
2022-02-08,,,,,
2022-02-09,,,,,
2022-02-10,,,,,
2022-02-11,,,,,
2022-02-14,,,,,
2022-02-15,,,,,
2022-02-16,,,,,
2022-02-17,,,,,
2022-02-18,,,,,
2022-02-21,,,,,
2022-02-22,,,,,
2022-02-23,,,,,
2022-02-24,,,,,
2022-02-25,,,,,
2022-02-28,,,,,
2022-03-01,,,,,
2022-03-02,,,,,
2022-03-03,,,,,
2022-03-04,,,,,
2022-03-07,,,,,
2022-03-08,,,,,
2022-03-09,,,,,
2022-03-10,,,,,
2022-03-11,,,,,
2022-03-14,,,,,
2022-03-15,,,,,
2022-03-16,,,,,
2022-03-17,,,,,
2022-03-18,,,,,
2022-03-21,,,,,
2022-03-22,,,,,
2022-03-23,,,,,
2022-03-24,,,,,
2022-03-25,,,,,
2022-03-28,,,,,
2022-03-29,,,,,
2022-03-30,,,,,
2022-03-31,,,,,
2022-04-01,,,,,
2022-04-04,,,,,
2022-04-05,,,,,
2022-04-06,,,,,
2022-04-07,,,,,
2022-04-08,,,,,
2022-04-11,,,,,
2022-04-12,,,,,
2022-04-13,,,,,
2022-04-14,,,,,
2022-04-15,,,,,
2022-04-18,,,,,
2022-04-19,,,,,
2022-04-20,,,,,
2022-04-21,,,,,
2022-04-22,,,,,
2022-04-25,,,,,
2022-04-26,,,,,
2022-04-27,,,,,
2022-04-28,,,,,
2022-04-29,,,,,
2022-05-02,,,,,
2022-05-03,,,,,
2022-05-04,,,,,
2022-05-05,,,,,
2022-05-06,,,,,
2022-05-09,-1.1956038771199502,2.983428988662162,4.145539752167279,-1.6287010823887833,0.5248282993903803
2022-05-10,-0.978083127340865,2.6586361146277997,4.424778603924966,-1.6366222708400788,0.669543707968289
2022-05-11,-1.233199162443568,2.9031768833703855,4.1776154554765075,-1.3906827365554124,0.751981479755655
2022-05-12,-1.6109911901533636,2.908460456102609,4.194391254885719,-1.4239712422265816,0.9961674894320987
2022-05-13,-1.6404985210495047,2.6171705143900312,4.281086669075756,-1.4193299003664055,0.9529100240928979
2022-05-16,-1.8528409269913553,2.745796947209203,4.107261484992443,-1.2541984164240576,0.8591435269527217
2022-05-17,-2.1369942114306797,2.2149312520531046,4.166735216130753,-1.234938041060191,1.1724919623382386
2022-05-18,-2.2453397862049322,2.6543655269770996,4.291255657949615,-1.65455539316958,1.144521973318258
2022-05-19,-2.15467532675086,2.349159191806566,4.321429226381563,-1.8488821851019464,1.285997395459514
2022-05-20,-2.313082902777542,2.1499249162412717,4.226941932010198,-1.9968054265967694,1.498748218012953
2022-05-23,-2.4722444938876715,1.6171883634894246,4.068313588047575,-1.8437948523807282,2.0046418657623835
2022-05-24,-2.4640484980120854,1.6843374047322888,3.9485205989316716,-2.1031810976082745,1.478080482652976
2022-05-25,-2.579088625840225,1.6011585070711178,4.007223973318574,-2.062677980710193,1.708646497287595
